text,intent,profession,source
كيفاش نبدل المهنة تاعي في البروفيل,app_question,none,synth_v5_base
dar fiha el siaj ta3 l7did tkesr wme7taj soudir mn simana kamla,find_worker,welder,synth_v5_base
dar fiha el siaj ta3 l7did tkesr wme7taj soudir mn simana kamla demain matin,find_worker,welder,synth_v6_time
dar fiha el siaj ta3 l7did tkesr wme7taj soudir mn simana kamla f dawahi,find_worker,welder,synth_v6_location
صحا، التلاجة تدير صوت غريب فيسع فيسع,urgent_service,appliance_repair,synth_v5_base
شحال نخلص باش نصلح نحب نديار كارلاج جديد في الكوزينة؟,price_inquiry,mason,synth_v5_base
عاجل: شحال نخلص باش نصلح نحب نديار كارلاج جديد في الكوزينة؟,price_inquiry,mason,synth_v6_urgency
شحال نخلص باش نصلح نحب نديار كارلاج جديد في الكوزينة؟ رخيص,price_inquiry,mason,synth_v6_quality
ارجو المساعدة بسرعة، سقف الغاراج طايح منو الاسمنت وباين الحديد ياخو,urgent_service,mason,synth_v5_base
ارجو المساعدة بسرعة، سقف الغاراج طايح منو الاسمنت وباين الحديد ياخو قبل الصيف,urgent_service,mason,synth_v6_time
ارجو عندي فيلا في المساعدة بسرعة، سقف الغاراج طايح منو الاسمنت وباين الحديد ياخو,urgent_service,mason,synth_v6_persona
coudre des rideaux occultants l chambre fissa3 svp rabi y7afdkom,urgent_service,tailor,synth_v5_base
s il vous plait: coudre des rideaux occultants l chambre fissa3 svp rabi y7afdkom,urgent_service,tailor,synth_v6_urgency
coudre des rideaux occultants l chambre fissa3 svp rabi y7afdkom f centre ville,urgent_service,tailor,synth_v6_location
كيفاش نخدم بهاد التطبيأ؟,app_question,none,synth_v5_base
ecran ta3 telephone therres win nsal7ou,out_of_scope,none,synth_v5_base
حلاقة في الدار لشيخ كبير ما يقدرش يخرج من فضلكم,find_worker,barber,synth_v5_base
حلاقة في الدار لشيخ كبير ما يقدرش يخرج من فضلكم نهار الجمعة,find_worker,barber,synth_v6_time
