text,intent,profession,source
مستعجل: نحتاج طباخة اليوم في سكيكدة,urgent_service,caterer,synth
وين نشري الزرع والورد للجنان في Bejaia؟,out_of_scope,none,synth
soudure ta3 porte metallique!! chkoun yji fissa3?,urgent_service,welder,synth
besoin d un ماصون serieux f بومرداس,find_worker,mason,synth
dork dork refaire la dalle ta3 la terrasse,urgent_service,mason,synth
الصباغة تقشرت في البيت شكون عندو حل,find_worker,painter,synth
les amis kifach nzid des photos l khedmti?,app_question,none,synth
خويا الكارلاج تاع الحمام تڨلع وولى يجمع الما شكون يجي يشوفها,find_worker,mason,synth
واش الأحوال؟ ياخو,greeting_chitchat,none,synth
je cherche un reparateur climatiseur à Oran,find_worker,ac_repair,synth
نحتاج sebbagh يجي غدوة الصباح لـ Boumerdes,find_worker,painter,synth
3awnouni tabbakha tji ttayeb f dar w rani 7asel,urgent_service,caterer,synth
camion sghir bach nne2lou les meubles chkoun 3ando solution,find_worker,mover,synth
ndiro des marches 9oddam el bab,find_worker,mason,synth
واش الأحوال؟ بارك الله فيكم,greeting_chitchat,none,synth
ya cheikh wach ne9der nesta3mel l appli offline?,app_question,none,synth
نحوس على طبيب أسنان مليح في Alger والله غير حاصل,out_of_scope,none,synth
nettoyage des vitres nta3 villa,find_worker,cleaner,synth
وين نشري الزرع والورد للجنان في بجايه؟,out_of_scope,none,synth
toute la maison sans courant!! chkoun yji fissa3?,urgent_service,electrician,synth
sa7bi gateaux traditionnels lel 3ers,find_worker,caterer,synth
دلوني على مول الضو شاطر ومعقول,find_worker,electrician,synth
كيفاش نديار كونت فيسبوك,out_of_scope,none,synth
nheb sebbak yji lyoum l Setif,find_worker,plumber,synth
win nechri gazon w les plantes f Chlef?,out_of_scope,none,synth
السياج الأخضر نتاع الجنان يحتاج تقليم,out_of_scope,none,synth
نحتاج واحد يعاونني في خدمة في الدار يجي غدوة الصباح لـ بومرداس,find_worker,none,synth
شحال يدير سودور في بومرداس؟,price_inquiry,welder,synth
rani n7awes 3la plaquiste f Batna,find_worker,plasterer,synth
راهي عندي نقل بيانو من الطابق الرابع وحاصل,find_worker,mover,synth
combien pour toute la maison sans courant?,price_inquiry,electrician,synth
combien pour reparer les volets ta3 fenetres?,price_inquiry,carpenter,synth
win nechri machine a coudre f Blida?,out_of_scope,none,synth
"saha, win nel9a pizzeria mli7a f Jijel?",out_of_scope,none,synth
ya khouya pc ta3i wela lourd bezzaf wach ndir?,out_of_scope,none,synth
شكون عندو نيميرو تاع kwafur في Annaba؟,find_worker,barber,synth
بشحال الخدمة تاع عاملة تنظيف تقريبا؟,price_inquiry,cleaner,synth
واش الأحوال؟ يعطيكم الصحة,greeting_chitchat,none,synth
كيفاش نشارك في العروض تاع الخدمات؟,app_question,none,synth
"saha, chokran",greeting_chitchat,none,synth
n7awes 3la dentiste mli7 f Alger,out_of_scope,none,synth
"bonjour, clim tetlok ri7a khayba!! chkoun yji fissa3?",urgent_service,ac_repair,synth
نحتاج تنظيف الدار قبل ما نسكنو فيها ونحتاج فام دو ميناج ديركت توا,urgent_service,cleaner,synth
restaurant mli7 l le diner f Bejaia?,out_of_scope,none,synth
plafond placo tah mennou tarf w ma 3reftch win nrou7,find_worker,plasterer,synth
"bonjour, win kayen pharmacie 9riba f Boumerdes?",out_of_scope,none,synth
يعطيكم الصحة، نحوس مول البناء ناشط في مستغانم,find_worker,mason,synth
حالة مستعجلة: السياج تاع الحديد تكسر ومحتاج سودير,urgent_service,welder,synth
شكون عندو نيميرو تاع واحد يعاونني في خدمة في الدار في تلمسان؟,find_worker,none,synth
شحال يكلف نحتاج نتوايا وصيانة الكليمة قبل الصيف؟,price_inquiry,ac_repair,synth
rani n7awes 3la wa7ed y3aweni f khedma f dar f Tiaret,find_worker,none,synth
كيفاه نمسح الحساب تاعي؟,app_question,none,synth
toilette bouchée w el ma ytla3 3awnouni,find_worker,plumber,synth
بشحال الخدمة تاع مول السباكة تقريبا,price_inquiry,plumber,synth
win kayen pharmacie 9riba f Bejaia? merci,out_of_scope,none,synth
drouk dork cuisine en bois sur mesure,urgent_service,carpenter,synth
نقدر نلقى كوافور يجي اليوم لـ بجاية؟,find_worker,barber,synth
عندي التابلو الكهربائي گديم ويخوف في الدار، واش نديار؟,find_worker,electrician,synth
wach ne9der ncancel demande b3aththa?,app_question,none,synth
شحال نخلص باش نصلح نحتاج نتوايا وصيانة الكليمة ابل الصيف؟,price_inquiry,ac_repair,synth
صاحبي نحب نديار كوزينة خشب على اياس شكون عندو حل,find_worker,carpenter,synth
صحا، نحوس أستاذ يعطي دروس خصوصية في الرياضيات,out_of_scope,none,synth
شحال نخلص باش نصلح كاين ريحة مجاري في الحمام,price_inquiry,plumber,synth
kifach nbeddel numero ta3i f compte? rabi y7afdkom,app_question,none,synth
يا شيخ كيفاش نزيد تصاور لخدماتي؟,app_question,none,synth
تركيب بلاكو بلاتر مع السبوتات,find_worker,plasterer,synth
شحال نخلص باش نصلح نحب نركب باب رئيسية جديدة,price_inquiry,carpenter,synth
3andi transporter frigo w machine merci,find_worker,mover,synth
ch7al ykalefni bennay pour une journee?,price_inquiry,mason,synth
تنظيف الدار بعد العرس,find_worker,cleaner,synth
البورطاي ما عادش يتسكر مليح، شكون يعرف سودور مليح؟,find_worker,welder,synth
kifach neb3et demande de service? ya kho,app_question,none,synth
وين نشري ماكينه خياطه جديده في باتنه؟,out_of_scope,none,synth
بليز لي يصلح الكليمة في قسنطينة دوك دوك، الكليمة ناقصها غاز,urgent_service,ac_repair,synth
بشحال الخدمة تاع بنّاء تقريبا؟,price_inquiry,mason,synth
عندي نحب نديار سياج حول الجنان ونحتاج واحد يصلحهالي,find_worker,mason,synth
عندي الطابلة تاع الصالون محتاجة تصليح,find_worker,carpenter,synth
"3andi installation chauffe-eau jdid, chkoun ye3ref plombi mli7?",find_worker,plumber,synth
3andi nbeddel les robinets nta3 cuisine,find_worker,plumber,synth
