text,intent,profession,source
كيفاش نبدل المهنة تاعي في البروفيل,app_question,none,synth
dar fiha el siaj ta3 l7did tkesr wme7taj soudir mn simana kamla,find_worker,welder,synth
صحا، التلاجة تدير صوت غريب فيسع فيسع,urgent_service,appliance_repair,synth
شحال نخلص باش نصلح نحب نديار كارلاج جديد في الكوزينة؟,price_inquiry,mason,synth
ارجو المساعدة بسرعة، سقف الغاراج طايح منو الاسمنت وباين الحديد ياخو,urgent_service,mason,synth
coudre des rideaux occultants l chambre fissa3 svp rabi y7afdkom,urgent_service,tailor,synth
كيفاش نخدم بهاد التطبيأ؟,app_question,none,synth
ecran ta3 telephone therres win nsal7ou,out_of_scope,none,synth
حلاقة في الدار لشيخ كبير ما يقدرش يخرج من فضلكم,find_worker,barber,synth
سلام خويا، بشحال الخدمة تاع منوزيي تقريبا؟,price_inquiry,carpenter,synth
dorka dork robe soirée sur mesure,urgent_service,tailor,synth
"slm, n7eb ncheri machina saboun jdida chhal lsoum?",out_of_scope,none,synth
وين نلقى بيتزيريا مليحة في Bordj Bou Arreridj؟ والله غير حاصل,out_of_scope,none,synth
kifah nchouf les avis ta3 worker?,app_question,none,synth
dorka dork les lampes yrigliw wa7edhom,urgent_service,electrician,synth
embrayage yzle9 n7taj mécanicien tawa dork,urgent_service,mechanic,synth
clim ydir bruit bizarre chkoun 3ando solution,find_worker,ac_repair,synth
راني نحوس على مول الكليمة في بجاية,find_worker,ac_repair,synth
ya cheikh wach el khlas ykoun kach wla balkarta?,app_question,none,synth
drari y7afffo gbel l3id men fadlkom,find_worker,barber,synth
kifach ngim l3aml b3ed el khdema?,app_question,none,synth
wech rak?,greeting_chitchat,none,synth
يا خويا سلام عليكم,greeting_chitchat,none,synth
urgence!! le placo tqawes mel humidité f Setif,urgent_service,plasterer,synth
عندي حلاقة في الدار لشيخ كبير ما يقدرش يخرج في الدار، واش نديار؟,find_worker,barber,synth
شحال نخلص باش نصلح الدوش مقطوع الما؟,price_inquiry,plumber,synth
3aounouni! nheb ndiar siaj 7oul el jnan wrani 7asl,urgent_service,mason,synth
rani n7awes 3la maçon f Setif svp,find_worker,mason,synth
ch7al nkhalles bach nsale7 clim tetlok ri7a khayba? ya kho,price_inquiry,ac_repair,synth
wach ne9der nesta3mel l appli offline,app_question,none,synth
سلام خويا، واش هي الأسعار نتاع tabbakha في Chlef؟,price_inquiry,caterer,synth
ارجو المساعدة بسرعة، الطوموبيل تدخن دخان كحل,urgent_service,mechanic,synth
وين نشري ماكينة خياطة جديدة في Ouargla؟ والله غير حاصل,out_of_scope,none,synth
يا خويا كيفاش نشوف تقييمات العامل قبل ما نخدم معاه؟,app_question,none,synth
شحال يدير ميكانيكي في تيارت؟,price_inquiry,mechanic,synth
ndirou drabzin 7did lledrej,find_worker,welder,synth
الطوموبيل تحبس في نص الطريق وشكرا مسبقا,find_worker,mechanic,synth
يعطيكم الصحة، نحوس مول البناء ناشط في وهران بارك الله فيكم,find_worker,mason,synth
واش كاين شي حلاق قريب من بجاية؟,find_worker,barber,synth
الدار فيها الما حابس في الدار كامل من سيمانة كاملة,find_worker,plumber,synth
واش نقدر نخدم كعامل وكليان في نفس الوقت؟ وشكرا مسبقا,app_question,none,synth
نحتاج طياب للوليمة نهار السبت، شكون يعرف tabbakha مليح؟ بارك الله فيكم,find_worker,caterer,synth
cas urgent: cloison placo bach n9assmou la chambre,urgent_service,plasterer,synth
chhal ykelf ldouch maqtou3 el ma,price_inquiry,plumber,synth
العجلة تنفّس فيسع فيسع,urgent_service,mechanic,synth
seche-linge khasser 3awnouni,find_worker,appliance_repair,synth
ياخو الله يخليكم الكليماتيزور يدير صوت غريب ومأدرتش نلأى حل,urgent_service,ac_repair,synth
مستعجل: نحتاج منوزيي اليوم في سكيكدة يعطيكم الصحة,urgent_service,carpenter,synth
nheb tabbakha yji lyoum l Chlef,find_worker,caterer,synth
الله يخليكم نحتاج فيدونج وتبديل الفيلترات ومگدرتش نلگى حل,urgent_service,mechanic,synth
demenagement ta3 bureau n7taj déménageur tawa dork svp,urgent_service,mover,synth
شحال يدير عاملة تنظيف في سطيف؟,price_inquiry,cleaner,synth
نحتاج مول الخياطة يجي غدوة الصباح لـ عنابة,find_worker,tailor,synth
rani nhawes 3la li ysala7 la clim f wregla,find_worker,ac_repair,synth
يا جماعة يعيشك خويا,greeting_chitchat,none,synth
نحب نبدل بلاصة الكليمة!! نحتاج واحد يجي فيسع,urgent_service,ac_repair,synth
combien pour tableau electrique 9dim,price_inquiry,electrician,synth
3andi escalier en bois yzegzeg,find_worker,carpenter,synth
"svp mol l placo f Constantine vite, cloison placo bach ngassmou la chambre",urgent_service,plasterer,synth
chkoun 3ando numero ta3 مول الصباغة f تلمسان?,find_worker,painter,synth
راني نحوس على مول الضو في بليدة,find_worker,electrician,synth
cv?,greeting_chitchat,none,synth
"3andi moteur yeskhon bezzaf, chkoun ye3ref mécanicien mli7?",find_worker,mechanic,synth
ارجو المساعدة بسرعة، نبغي ديكور جبس في السقف,urgent_service,plasterer,synth
ch7al prix ta3 abonnement par mois?,app_question,none,synth
ارجو المساعدة بسرعة، جبس السقف طايح شوية شوية,urgent_service,plasterer,synth
ya cheikh labas 3likm?,greeting_chitchat,none,synth
نبغي نتعلم الخياطة واش كاين تكوين ڨريب؟,out_of_scope,none,synth
chakhchoukha l mounasba,find_worker,caterer,synth
peinture ta3 chambre d'enfants 3awnouni,find_worker,painter,synth
نگدر نلگى لي يصلح الكليمة يجي اليوم لـ جيجل؟,find_worker,ac_repair,synth
llh ykhelikm el klima tjemd wte7bes w7edha wme9dertech nle9a 7l merci,urgent_service,ac_repair,synth
شكون ربح الكان هاد العام,out_of_scope,none,synth
"bliz mol el khiata f skikda douk dork, tre9i3 ljakita l9dima ya kho",urgent_service,tailor,synth
prof ta3 maths l les cours particuliers svp,out_of_scope,none,synth
wech el ttebi9 mjani wla balkhelas?,app_question,none,synth
n7taj mecanicien yji ghodwa el sba7 l Tlemcen,find_worker,mechanic,synth
rahi 3nedi n7taj ntouaia wsiana clima 9bel el sif w7asl,find_worker,ac_repair,synth
تصليح سودير في السلم الحديدي,find_worker,welder,synth
kifach neb3et demande de service?,app_question,none,synth
راهي عندي نحتاج طباخة لعرس مية نفر وحاصل,find_worker,caterer,synth
سلام خويا، واش معنى الاشتراك برو للعامل؟,app_question,none,synth
ya khouya sbagha labouab walfenitrat chkoun 3nedou 7l,find_worker,painter,synth
7it l7ouch mail wkhaifin yti7 3aounouni,find_worker,mason,synth
ch7al taman bach ndir toute la maison sans courant,price_inquiry,electrician,synth
meuble tv en placo fel mur w ma 3reftch win nrou7 rabi y7afdkom,find_worker,plasterer,synth
chhal ykelf dimnajmoun kamel lledar?,price_inquiry,mover,synth
kifah nkhedm bhad el ttebi9?,app_question,none,synth
nettoyage appartement 9bel ma nekriwah w ma 3reftch win nrou7,find_worker,cleaner,synth
ch7al ykalefni soudor pour une journee?,price_inquiry,welder,synth
نحوس على طبيب أسنان مليح في ورأله,out_of_scope,none,synth
شحال السوم تاع كهربائي؟,price_inquiry,electrician,synth
شكون يركب سڨي أوتوماتيك في الجنينة؟,out_of_scope,none,synth
واش هي الأسعار تاع صباغ في سطيف؟,price_inquiry,painter,synth
يا خويا نڨدر نلڨى طباخة يجي اليوم لـ باتنة؟,find_worker,caterer,synth
واش التطبيق يخدم بلا انترنات,app_question,none,synth
شحال السوم تاع مول الخياطة؟,price_inquiry,tailor,synth
يا جماعة مرحبا,greeting_chitchat,none,synth
وين نقرا لانجليزية في سطيف؟,out_of_scope,none,synth
تنظيف الدار بعد العرس!! نحتاج واحد يجي فيسع,urgent_service,cleaner,synth
صاحبي دوك دورك حلاقة في الدار لشيخ كبير ما يقدرش يخرج,urgent_service,barber,synth
win nechri machine a coudre f Mostaganem?,out_of_scope,none,synth
"saha, saha khouya",greeting_chitchat,none,synth
je cherche un plombi à Alger,find_worker,plumber,synth
n7awes 3la ristouroun mlih lle3cha f wheran,out_of_scope,none,synth
rahi 3nedi nheb ndiar پlakar 3la qias w7asl,find_worker,carpenter,synth
n7awes 3la dentiste mli7 f Mostaganem,out_of_scope,none,synth
شحال يدير عاملة تنظيف في مستغانم,price_inquiry,cleaner,synth
"y3etikm el s7a, n7awes t9eni klimatizour nacht fi msetghanm",find_worker,ac_repair,synth
recette nta3 couscous svp ya kho,out_of_scope,none,synth
svp rani n7awes 3la kahrabji f Batna,find_worker,electrician,synth
الجنان محتاج تنقية وقازون جديد,out_of_scope,none,synth
كي نشعل الماشينة يطيح الضو شكون عندو حل,find_worker,electrician,synth
كي نشعل الماشينة يطيح الضو فيسع فيسع,urgent_service,electrician,synth
واش الأحوال,greeting_chitchat,none,synth
clim ma tberredch n7taj mol clima tawa dork merci,urgent_service,ac_repair,synth
كيفاه نفعل الموقع باش يلقاوني العمال,app_question,none,synth
wach hi el as3ar ta3 7la9 f 9sentina,price_inquiry,barber,synth
الكليمة تجمد وتحبس وحدها ونحتاج mol clima ديركت توا,urgent_service,ac_repair,synth
واش كاين شي barbier قريب من Bordj Bou Arreridj؟ الله يخليك,find_worker,barber,synth
الله يخليكم كسكسي لخمسين نفر لصدگة ومگدرتش نلگى حل,urgent_service,caterer,synth
"ya cheikh j'ai oublié mon mot de passe, wach ndir?",app_question,none,synth
chhal el soum ta3 mikaniki?,price_inquiry,mechanic,synth
wach hi el as3ar ta3 mol ljbes f el jzair el 3asma?,price_inquiry,plasterer,synth
مستعجل: نحتاج بلاكيست اليوم في عنابة,urgent_service,plasterer,synth
واش معنى الاشتراك برو للعامل؟ الله يخليك,app_question,none,synth
شحال يكلفني فام دو ميناج لليوم كامل؟,price_inquiry,cleaner,synth
دلوني على كوافور شاطر ومعقول,find_worker,barber,synth
3andi congelateur ma yjamedch,find_worker,appliance_repair,synth
وين نقرا لانجليزية في وهران؟,out_of_scope,none,synth
تقصير الكم تاع القميجة ومازال ما لقيتش لي يصلحها,find_worker,tailor,synth
"nfed lghbera wmes7 lblat nta3 el fila, chkoun y3erf li ydir lminaj mlih?",find_worker,cleaner,synth
سلام خويا، كيفاه نبدل المهنة تاعي في البروفيل؟,app_question,none,synth
شحال نخلص باش نصلح نحتاج طياب للوليمة نهار السبت؟,price_inquiry,caterer,synth
win nechri machine a coudre f عنابة?,out_of_scope,none,synth
chkoun 3ando numero ta3 wa7ed y3aweni f khedma f dar f Tlemcen?,find_worker,none,synth
cloture en fer te7taj soudure fissa3 svp,urgent_service,welder,synth
كيفاش نفعل الموقع باش يلقاوني العمال؟,app_question,none,synth
déménagement complet,find_worker,mover,synth
n7awes 3la dentiste mli7 f Chlef,out_of_scope,none,synth
"sa7bi rani n7awes 3la khdema nkhedmeha, wech kayen blais?",out_of_scope,none,synth
ch7al taman bach ndir repeindre la façade ta3 dar?,price_inquiry,painter,synth
عندي الما حابس في الدار كامل في الدار، واش نديار؟,find_worker,plumber,synth
شحال يكلف نحب نديار قفص حديد فوق السطح؟ والله غير حاصل,price_inquiry,welder,synth
n7taj tnedif eddar 9bel ma nseknou fiha,find_worker,cleaner,synth
chkoun 3ando numero ta3 demenageur f Constantine?,find_worker,mover,synth
n7awlou l dar jdida f nefs el 7ay chkoun 3ando solution svp,find_worker,mover,synth
راني نحوس على سباك في وهران,find_worker,plumber,synth
حالة مستعجلة: الكناپي ولا مصفر من الاولاد ويحتاج غسيل عميق,urgent_service,cleaner,synth
كيفاه نشوف تڨييمات العامل ڨبل ما نخدم معاه؟,app_question,none,synth
le portail khrej men blasstou w ma 3reftch win nrou7,find_worker,welder,synth
m3elich t9ouli kifech rah el t9es f Oran?,out_of_scope,none,synth
les prix nta3 reparateur machine a laver f Oran?,price_inquiry,appliance_repair,synth
يا شيخ نحتاج تركيب سونيري تاع الباب من فضلكم,find_worker,electrician,synth
kifech nchark f l3roud ta3 el khdemat,app_question,none,synth
mset3ejle: n7taj soudour lyoum fi boumredas,urgent_service,welder,synth
win kayen pharmacie qriba f برج بوعريريج,out_of_scope,none,synth
خويا ميناج أسبوعي للفيلا شكون يجي يشوفها,find_worker,cleaner,synth
wech hi las3ar nta3 masoun f lchlef?,price_inquiry,mason,synth
dar fiha tre9i3 ljakita el 9dima mn simana kamla,find_worker,tailor,synth
وين نلقى بيتزيريا مليحة في تلمسان؟,out_of_scope,none,synth
نبيع تيليفون سامسونج شبه جديد ياخو,out_of_scope,none,synth
arrosage automatique lel jnina chkoun yrakbou? rabi y7afdkom,out_of_scope,none,synth
kifah nghayyer profession fel compte ta3i? rabi y7afdkom,app_question,none,synth
الجبس تاع البيت طاح مع الشتا واش نديار,find_worker,plasterer,synth
يا خويا التيليفون تاعي تهرس الايكران وين نصلحو؟,out_of_scope,none,synth
نحوس جنايني يقلم الأشجار تاع الجنان,out_of_scope,none,synth
wech lkhlas ykoun kach wla balkarta?,app_question,none,synth
شحال نخلص باش نصلح نفض الغبرة ومسح البلاط تاع الفيلا؟,price_inquiry,cleaner,synth
صاحبي نسيت كلمة السر، واش نديار؟,app_question,none,synth
demenagement ta3 bureau n7taj لي ينقل الأثاث tawa dork,urgent_service,mover,synth
صاحبي صحيت خويا,greeting_chitchat,none,synth
واش التطبيڨ مجاني ولا بالخلاص؟,app_question,none,synth
nheb 7addad yji lyoum l Ouargla,find_worker,welder,synth
يا جماعة سلام,greeting_chitchat,none,synth
وين نلقى بيتزيريا مليحة في Tizi Ouzou؟,out_of_scope,none,synth
"svp bennay f Annaba vite, monter un mur en parpaing",urgent_service,mason,synth
vidange w les filtres 3awnouni,find_worker,mechanic,synth
سلام خويا، نحوس على طبيب أسنان مليح في بليدة,out_of_scope,none,synth
سلام خويا، شحال يكلف الاشتراك في الشهر؟,app_question,none,synth
وين نلقى بيتزيريا مليحة في Tlemcen؟,out_of_scope,none,synth
عندي حففلي راسي ديغراديه ونحتاج واحد يصلحهالي,find_worker,barber,synth
jbes plafond tai7 chouia chouia,find_worker,plasterer,synth
nheb tbakha tji ttib f dar lmenasba chkoun 3nedou 7l,find_worker,caterer,synth
3andi cuisiniere ma tech3elch,find_worker,appliance_repair,synth
عندي نأل عفش عروسة,find_worker,mover,synth
نحتاج واحد يعاونني في خدمة في الدار مليح في الشلف,find_worker,none,synth
"svp لحّام f باتنة vite, balustrade lel balcon",urgent_service,welder,synth
كيفاه نشارك في العروض تاع الخدمات؟,app_question,none,synth
دلوني على خياط شاطر ومعڨول,find_worker,tailor,synth
khouya 7it el 7ouch mail wkhaifin yti7 chkoun yji ychoufha,find_worker,mason,synth
khouya tesli7 soudir f lslem l7didi chkoun yji ychoufha,find_worker,welder,synth
نحوس على طبيب أسنان مليح في Bordj Bou Arreridj,out_of_scope,none,synth
ya kho slam,greeting_chitchat,none,synth
ch7al ykelf n7eb nzid prise jdida f el birou?,price_inquiry,electrician,synth
حالة مستعجلة: صباغة الأبواب والفنيترات,urgent_service,painter,synth
طوفان الما في الكوزينة ونحتاج sebbak ديركت توا,urgent_service,plumber,synth
